Speed;TurnRate;coordX;coordY;Yaw
0.0;1.0;-2.0;0.0;0.7853981633974483
0.0;1.0;-2.0;0.0;1.0853981633974483
0.5;0.0;-2.0;0.0;1.3853981633974486
0.5;0.0;-1.981566211182617;0.09828629319409769;1.3853981633974486
0.0;1.0;-1.9539155279565428;0.24571573298524424;1.4853981633974487
0.0;1.0;-1.9539155279565428;0.24571573298524424;1.785398163397449
0.0;1.0;-1.9539155279565428;0.24571573298524424;2.085398163397449
0.0;1.0;-1.9539155279565428;0.24571573298524424;2.285398163397449
0.0;1.0;-1.9539155279565428;0.24571573298524424;2.4853981633974493
0.0;1.0;-1.9539155279565428;0.24571573298524424;2.7853981633974496
0.0;1.0;-1.9539155279565428;0.24571573298524424;2.98539816339745
0.5;0.0;-1.9539155279565428;0.24571573298524424;-3.0977871437821363
0.0;1.0;-2.053819597163854;0.24133658285984338;-3.0977871437821363
0.0;1.0;-2.053819597163854;0.24133658285984338;-2.897787143782136
0.0;1.0;-2.053819597163854;0.24133658285984338;-2.4977871437821357
0.0;1.0;-2.053819597163854;0.24133658285984338;-2.2977871437821356
0.0;1.0;-2.053819597163854;0.24133658285984338;-1.9977871437821353
0.5;0.0;-2.0601520856131637;0.191739208029724;-1.697787143782135
0.5;0.0;-2.0728170625117825;0.09254445836948522;-1.697787143782135
0.5;0.0;-2.091814527859711;-0.05624766612087295;-1.697787143782135
0.5;0.0;-2.1108119932076392;-0.20503979061123112;-1.697787143782135
0.5;0.0;-2.123476970106258;-0.3042345402714699;-1.697787143782135
0.5;0.0;-2.1424744354541865;-0.45302666476182807;-1.697787143782135
0.0;-1.0;-2.161471900802115;-0.6018187892521862;-1.697787143782135
0.5;0.0;-2.161471900802115;-0.6018187892521862;-1.797787143782135
0.5;0.0;-2.2096511134533925;-0.7438707637837042;-1.8977871437821352
0.5;0.0;-2.25783032610467;-0.8859227383152222;-1.8977871437821352
0.5;0.0;-2.306009538755948;-1.02797471284674;-1.8977871437821352
0.5;0.0;-2.3381290138567996;-1.1226760292010851;-1.8977871437821352
0.0;-1.0;-2.3702484889576514;-1.2173773455554302;-1.8977871437821352
0.5;0.0;-2.3702484889576514;-1.2173773455554302;-2.1977871437821355
0.5;0.0;-2.4582550776909646;-1.3388468492982446;-2.1977871437821355
0.5;0.0;-2.546261666424278;-1.460316353041059;-2.1977871437821355
0.5;0.0;-2.634268255157591;-1.5817858567838734;-2.1977871437821355
0.5;0.0;-2.6929393143131333;-1.6627655259457497;-2.1977871437821355
0.0;-1.0;-2.7809459030464465;-1.784235029688564;-2.1977871437821355
0.5;0.0;-2.7809459030464465;-1.784235029688564;-2.597787143782136
0.0;-1.0;-2.8237331993418096;-1.8101048436757734;-2.597787143782136
0.5;0.0;-2.9093077919325356;-1.861844471650192;-2.797787143782136
0.5;0.0;-3.006350428328095;-1.8859842049005666;-2.897787143782136
0.5;0.0;-3.1033930647236545;-1.9101239381509412;-2.897787143782136
0.5;0.0;-3.2489570193169937;-1.946333538026503;-2.897787143782136
0.0;-1.0;-3.2974783375147734;-1.9584034046516903;-2.897787143782136
0.5;0.0;-3.394520973910333;-1.9825431379020648;-2.997787143782136
0.5;0.0;-3.5429726431160384;-2.0040396936736227;-2.997787143782136
0.0;1.0;-3.641940422586509;-2.0183707308546617;-2.997787143782136
0.5;0.0;-3.641940422586509;-2.0183707308546617;-2.697787143782136
